,user_name,user_location,date,text,rating
40,para de ser doida ;),,2022-09-22 04:37:38+00:00,"tusquinha foi tudooo

adoro ser torcedora",
41,didie,São Carlos 🔄 Pompéia,2022-09-22 03:58:14+00:00,@giicapo bora tusquinha,
42,.,Na Minha Casa,2022-09-22 03:46:25+00:00,olá meu nome é Isabela tenho 21 anos e gostaria de agradecer meus amigos por terem em arrastado pro Tusquinha pq fui feliz de maneiras irreparáveis e inimagináveis sério eu fiquei mt feliz eu to mt feliz getne eu amo vcs,
43,uvinha thompson,,2022-09-22 03:37:24+00:00,Tusquinha foi demaaaais,
44,ponta,ela/dela,2022-09-22 03:24:57+00:00,@naominhasolidao vergonha é vc que foi no tusquinha só pra ******,
45,casa de carnes matsunaga,,2022-09-22 03:22:30+00:00,caraio o tusquinha me fez ficar mt tempo de pé se fuder pelo menos ganhamo td,
46,eeh dudita,"São Carlos, Brasil",2022-09-22 03:10:22+00:00,"ver a federal jgr no tusquinha me trouxe memorias de quando eu era criança, e minha mãe me levava pra federal p eu ver ela dando treino de vôlei
eu poderia ter passado facilmente este ano, mas agora eu realmente QUERO e VOU entrar pra maior no ano q vem!!!",
47,army do litrão (blonde era,,2022-09-22 03:02:18+00:00,eu no meio do tusquinha abrindo o instagram pra ver o vídeo do taehyung pra vogue 🥺❤️ ele tá tão lindo,
48,taymee,"Cerquilho, Brasil",2022-09-22 02:34:43+00:00,fausto tava aq perto e me ligou pedindo pra vir aq pra terminar o trabalho q ele tem q entregar até 00h mas n passou pela cabeça dele simplesmente não ir pro tusquinha kkkkkkkkkkkkkkkkkkkkk vou concentrar pra algelin nunca,
49,taila ayola ☾,,2022-09-22 02:31:38+00:00,RT @_biabenassi: Gente para de postar no tusquinha tem criança chorandoooooooooo (eu),
50,Artur Barbedo,,2022-09-22 02:30:25+00:00,Imagina não ir no tusquinha...,
51,carimbo,,2022-09-22 01:55:26+00:00,CAMPEÕES DO TUSQUINHA 😘😘😘,
52,O Tal do Morgado,"Descalvado, Brasil",2022-09-22 01:46:59+00:00,"GANHAMO NO FUTSAL MASCULINO E COM ISSO GANHAMO MAIS UM TUSQUINHA CARALHOOOOOOO, CHUPA BANDO DE FDP #XCS",
53,jess ⭐️,Ot5,2022-09-22 01:16:47+00:00,hoje eu toquei como se não houvesse amanhã todas as minhas mágoas eu deixei no tusquinha,
54,Vini,,2022-09-22 00:24:52+00:00,Meu menininho ta crescendo tao rapido ja ta ate jogando tusquinha pelo caaso @LilPalomin,
55,mimi,,2022-09-22 00:12:34+00:00,queria ta no tusquinha hj mas nao tenho amigos na faculdade ainda 🥴☝️,
56,bia,"Uberlândia, Brasil",2022-09-21 23:36:12+00:00,Gente para de postar no tusquinha tem criança chorandoooooooooo (eu),
57,dm,"São Carlos, Brasil",2022-09-21 23:29:15+00:00,"O dia que eu não vou no tusquinha tem cerveja de graça
É pra acabar mesmo viu",
58,mari,,2022-09-21 23:19:29+00:00,tô me sentindo uma impostora por não tar no tusquinha ufscar eu te amo muito me perdoa 😭😭😭😭😭😭😭,
59,murilo,"São Carlos, Brasil",2022-09-21 23:15:10+00:00,Tusquinha vc n sai da minha cabeça 😭,
60,Clive Bixby,Construindo o Mundo Novo,2022-09-21 22:57:11+00:00,RT @murilo_sza: vou perder o tusquinha pra gravar vídeo da sifsc vo me mata,
61,winx,,2022-09-21 22:56:05+00:00,"o lado da federal no tusquinha parece  edredom de retalho, o que custa fazer uma bandeira grande bonita sabe",
62,Empada da Bio,são carlos,2022-09-21 22:27:19+00:00,Eu só queria ir pro tusquinha hoje sabe?,
63,maria,,2022-09-21 22:14:56+00:00,imagina ter tempo de ir no tusquinha,
64,fredderica,,2022-09-21 22:11:15+00:00,"virei quem eu mais critiquei: a que faz 1 prova e qualquer desculpa é motivo pra me fazer parar de estudar (tenho mais 6 provas pela frente q tô indo pro tusquinha? sim, pois é amigo)",
65,fredderica,,2022-09-21 22:06:23+00:00,"entrei no modo ""acorda pedrinho"" e ""vermelho"" 
o tusquinha me faz feliz!!!!",
66,army do litrão (blonde era,,2022-09-21 21:56:16+00:00,e a gente q foi no tusquinha de carona no carreto da gaperia https://t.co/7E3MH9b5yc,
67,lariê,,2022-09-21 21:45:24+00:00,ódio a todo mundo que tá indo no tusquinha (só pq eu não posso ir no tusquinha 😠,
68,dm,"São Carlos, Brasil",2022-09-21 21:42:06+00:00,Alguém pra ir no tusquinha comigo hoje?😭,
69,mabi,,2022-09-21 21:25:37+00:00,"morar em rep não é fácil, um dia antes da prova de algas e as meninas tão fazendo eu considerar ir no tusquinha",
70,may,🏛 cabin six | 🐍🎡🏒 |,2022-09-21 21:23:15+00:00,"deixei de ir no tusquinha pra finalizar trabalho 
to mudada msm (realidade: nao tinha como ir/voltar de lá",
71,Matsuda,,2022-09-21 21:01:50+00:00,"Droga, vou perder o tusquinha",
72,anna,ela/dela • she/them,2022-09-21 20:50:12+00:00,lembram qnd ontem eu disse que ia no tusquinha hoje mas aí eu dormi só por três horas e o dia amanheceu chovendo,
