,user_name,user_location,date,text,rating
0,bh,031,2022-10-04 19:12:04+00:00,"pelo menos agora tenho roupa pros quatro dias, obrigada atlética da ufscar, irmãos urso e atlética da estat por fornecerem os looks universitários",
1,Jão,,2022-10-04 12:44:58+00:00,É desesperador as notícias que chegam sobre a atlética UFSCar,
2,Igor,,2022-09-21 11:08:21+00:00,atlética ufscar sempre sabotando tudo. odeio pra caralho,
3,𝖗𝖆𝖕𝖍𝖆,Ø15,2022-09-20 10:45:09+00:00,"como se eu não tivesse estágio + atlética e demandas da faculdade pra me preocupar

consegui a bolsa de extensão da ufscar e  agora vo trabalhar pra universidade e ter uma rendinha extra 🥹🙏🏾",
4,yan,,2022-09-15 10:25:20+00:00,"RT @jane_kalamidade: Falta poucos dias pra fechar o pedido do kit da atlética e: VC VAI QUERER USAR ALGUMA DESSAS PECINHAS

meu maior e pro…",
5,curoline - a mais cu em tds as tarefas q se propõe,São Paulo -SP,2022-09-14 22:19:47+00:00,"Falta poucos dias pra fechar o pedido do kit da atlética e: VC VAI QUERER USAR ALGUMA DESSAS PECINHAS

meu maior e provavelmente último ato como artista, poderias comprar???

 COMPRA AQUI - https://t.co/m5Ri8Gr4VS https://t.co/jMHh0QfIEj",
6,jane kalamidade ☠️,São Paulo -SP,2022-09-14 22:19:47+00:00,"Falta poucos dias pra fechar o pedido do kit da atlética e: VC VAI QUERER USAR ALGUMA DESSAS PECINHAS

meu maior e provavelmente último ato como artista, poderias comprar???

 COMPRA AQUI - https://t.co/m5Ri8Gr4VS https://t.co/jMHh0QfIEj",
