,user_name,user_location,date,text,rating
45,Thaís Silva,,2022-09-27 23:06:19+00:00,"Gbr confirmado no tusca, agora posso comprar em paz 🙏🏻",
46,Mééééé,"Bauru, São Paulo",2022-09-27 22:58:27+00:00,"Pensando seriamente em pedir férias pós inter, pq não vou ter um resquício sequer de saúde dps de 3 dias de inter e 1 dia de tusca",
47,Casaro,Jambalaya Ocean Drive,2022-09-27 22:31:30+00:00,RT @BotTusca: Faltam 46 dias para o início do TUSCA,
48,Pacheco016 ®️👑,$,2022-09-27 22:25:20+00:00,RT @Lulu10740866: Vendo dois pacotes completos tusca estudante por 550 cada,
49,uolbol,"São Carlos, Brasil",2022-09-27 22:19:25+00:00,Ganhei a campus party na faixa mermao é isso(mesmo dia do tusca agora tô pensando pensamentos),
50,FECHADO COM VP,"Franca, Brasil",2022-09-27 22:16:07+00:00,RT @Lulu10740866: Vendo dois pacotes completos tusca estudante por 550 cada,
51,diamba vencida,Piraporinha Da Serra ,2022-09-27 22:08:31+00:00,tou achando que vou comprar o tusca e fodase as minhas responsabilidades,
52,biel,"Franca, Brasil",2022-09-27 21:55:08+00:00,RT @Lulu10740866: Vendo dois pacotes completos tusca estudante por 550 cada,
53,LLLetu,,2022-09-27 21:49:22+00:00,Alguém afim de comprar só a caneca do tusca? Quero o tirante e não vende separado,
54,Nalu 🐢,"Franca, Brasil",2022-09-27 21:30:33+00:00,Vendo dois pacotes completos tusca estudante por 550 cada,
55,"errei vida, fui mlk",Santo André ,2022-09-27 20:23:24+00:00,Meu Deus nem acredito que não vou precisar dormir em uma barraca no Tusca 🥳,
56,o B não é de Bruna 🫠,"São Carlos, Brasil",2022-09-27 20:02:57+00:00,ouvindo matheus e kauan pra saber as musicas no tusca,
57,Hemwer,"São José dos Campos, Brasil",2022-09-27 19:56:02+00:00,"vendo tusca, terceiro lote estudante",
58,big heavenly bug,"Minas Gerais, Brazil",2022-09-27 18:33:24+00:00,@griloso37 é dos trem do kit tusca?,
59,beretta 🎗,americana - sp,2022-09-27 18:15:20+00:00,RT @BotTusca: Faltam 46 dias para o início do TUSCA,
60,thami,"São Paulo, Brasil",2022-09-27 18:09:09+00:00,caramba o inter n lança logo a line up senhoor e eu já to com muita inveja de quem vai p tusca pq a deles tá muito boa,
61,lau,,2022-09-27 17:54:52+00:00,@estelar_lau kkkkkkkkkk amiga tô querendo ir de tusca 🥺,
62,alfff,,2022-09-27 17:49:43+00:00,RT @BotTusca: Faltam 46 dias para o início do TUSCA,
63,coco,santa adelia / sanca,2022-09-27 17:44:19+00:00,RT @BotTusca: Faltam 46 dias para o início do TUSCA,
64,júlia ✨,,2022-09-27 17:34:27+00:00,@VSertanejo @AyoubGiovanna eu tusca grade e caneca com cerveja,
65,ⓟed🌱o,"São Paulo, Brasil",2022-09-27 17:32:11+00:00,procuramos alojas tusca pra 14 pessoas,
66,Bolis,Sao Carlos,2022-09-27 17:21:55+00:00,RT @BotTusca: Faltam 46 dias para o início do TUSCA,
67,Tusca,São Carlos,2022-09-27 17:11:18+00:00,RT @BotTusca: Faltam 46 dias para o início do TUSCA,
68,Maduzeirah,,2022-09-27 16:59:42+00:00,"Fui no tuscou um evento lá em sp, não sei se é o mesmo organizadores do tusca enfim prometeram várias atrações ludimila, DJ gbr entre outras e no dia nenhuma das principais foram kkkkkkkk músicas repetitivas e uns DJs exóticos tô esperando meu dinheiro e nada só avisando vcs https://t.co/JlZbB9i55m",
69,bibi 13,"Santos, Brasil",2022-09-27 16:18:54+00:00,montando meu carrinho da shein esperando que faça calor no tusca deus me ajude por favor,
70,gigi 👄,,2022-09-27 16:02:16+00:00,MINHA VÓ ME DEU DINHEIRO PRA COMPRAR O TUSCA 🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪 q momento,
71,Casaro,Jambalaya Ocean Drive,2022-09-27 15:53:52+00:00,"Caralho a gente vai pro Tusca mesmo 
TUSCOU CARAHO",
72,Porfirio,,2022-09-27 15:28:01+00:00,"Mano só queria ir no tusca, deve ser foda pra crlh",
73,xuão, maimêbf• o;p,2022-09-27 15:26:02+00:00,caralho Tusca tô tentado hein,
74,Bot TUSCA 2022,Arena Tusca,2022-09-27 15:01:22+00:00,Faltam 46 dias para o início do TUSCA,
75,Pérola,ela/dela,2022-09-27 14:18:10+00:00,@_joycinhaf @eriicana_ verdade quem vai banca nosso tusca,
76,army do litrão (blonde era,,2022-09-27 13:46:40+00:00,vcs q me perdoem mas meu deus kit tusca do c*fis* tá tenebroso,
77,millena ツ,,2022-09-27 13:42:49+00:00,vendo tusca estudante primeiro lote 😘,
78,Polidorio,"Guarulhos, Brasil",2022-09-27 13:38:23+00:00,"unifesp CAGOU nesse inter

devia ter comprado o tusca",
79,Vanessa Trois,,2022-09-27 13:29:19+00:00,estou pensando ainda se compro ou não o tusca,
80,iori possuído,FEA USP,2022-09-27 12:55:54+00:00,"vendi meu tusca e agora vou conseguir pagar pra tentar novamente a prova prática e pagar a taxa de emissão da carta

fé que dessa vez vai 🙏🏽",
81,"Puts, Vini",Brasil,2022-09-27 12:10:22+00:00,"@nicollekemmer Festa universitária não tem muita noção envolvida, da para fazer melhor muitas coisas, mas a maioria é bem fora da casinha e acredite tem piores…no TUSCA mesmo deu surto de esquistossomose",
82,𝐌𝐚𝐫𝐢𝐧𝐚,🏳️‍🌈,2022-09-27 12:07:38+00:00,"obg pelas férias ufscar, agr so voltamo no tusca 😼😈🛐",
83,a tal bruna do rabo assassino,"São Paulo, Brasil",2022-09-27 11:16:06+00:00,O povo do tusca bebe isso ai (pinga com barro) https://t.co/BQuMDmu2rF,
84,ingrata,,2022-09-27 11:09:19+00:00,Menos de 2 meses pro meu aniversário e pro Tusca JÁ,
85,Andressa Alencar,"Ribeirão Preto, Brasil",2022-09-27 04:27:44+00:00,"Tinha prometido pra mim que o tusca ia ser minha última festa esse ano.
Mas estou me aposentando mais cedo. É isso gente cansei, falta 3 meses pro ano acabar e agora só quero saber de pipoca e Netflix. No máximo um barzinho.a idade e as responsabilidades da vida adulta bateu.",
86,tóquio,,2022-09-27 04:15:20+00:00,@pietrintambas pior que naooo 😫 acho que nao vou nem de tusca nem de inter infelizmente,
87,dj de meia tigela,,2022-09-27 04:06:07+00:00,"RT @djlamarca: Quem achou que eu ia parar de inovar, achou errado! 🤯

22/10 - Halloween da Lamarca além de INAUGURAR o novo point universit…",
88,marilia,Uberlândia - MG,2022-09-27 03:34:45+00:00,RT @Mutano_Z: Vendo ingresso Tusca 2022 3° lote Estudante,
89,anabolinhah,,2022-09-27 03:04:17+00:00,Fire quer q eu vá pra Ribeirão preto🥴 4h de sorocaba😄😄😄 jogar no tusca,
90,Mis,,2022-09-27 02:51:30+00:00,Agora não quero ir pro tusca mais,
91,Yuri🇺🇦SEP,,2022-09-27 02:48:03+00:00,Depois do tusca eu arrumo uma namorada,
